age,annual_income,credit_score,tenure_months,account_balance,monthly_usage_hours,support_tickets,contract_type,payment_method,device_category,is_churn
56,77235.49,409,68,32418.9,68.6,1,One-Year,Electronic Check,Mobile,0
69,153476.92,447,31,27510.8,117.8,1,Month-to-Month,Bank Transfer,Desktop,0
46,91787.57,520,53,64749.03,107.9,2,Month-to-Month,Credit Card,Desktop,0
32,63550.71,731,25,122634.8,114.4,2,One-Year,Bank Transfer,Tablet,0
60,120657.47,522,44,126442.5,47.0,1,Month-to-Month,Credit Card,Tablet,0
25,134550.47,500,12,78068.41,94.6,1,Month-to-Month,Bank Transfer,Tablet,0
38,50891.5,802,9,129121.63,74.8,1,Month-to-Month,Credit Card,Mobile,0
56,50980.98,699,12,816.56,10.8,1,One-Year,Electronic Check,Tablet,1
75,30684.07,739,69,5276.19,99.1,3,Month-to-Month,Credit Card,Mobile,0
36,139142.31,789,54,136773.24,81.6,3,Month-to-Month,Electronic Check,Mobile,0
40,127889.7,471,54,116299.79,24.7,0,Month-to-Month,Credit Card,Mobile,0
28,98567.79,843,28,67605.91,10.5,7,One-Year,Electronic Check,Tablet,1
28,155846.42,457,56,113041.52,100.6,2,One-Year,Credit Card,Tablet,0
41,149878.87,353,69,143345.92,10.4,2,Month-to-Month,Credit Card,Mobile,0
70,115729.93,442,58,115813.43,11.9,3,Month-to-Month,Credit Card,Mobile,0
53,159582.05,756,42,126355.7,51.9,2,Month-to-Month,Electronic Check,Tablet,0
57,56905.39,355,38,114090.99,17.0,3,Two-Year,Credit Card,Desktop,0
41,42347.54,637,68,25231.66,109.7,0,One-Year,Credit Card,Mobile,0
20,66811.19,455,53,125036.12,57.0,1,Month-to-Month,Credit Card,Desktop,0
39,33848.46,495,33,29266.32,68.7,4,Two-Year,Electronic Check,Desktop,0
70,107331.28,620,71,133891.7,111.4,2,Month-to-Month,Credit Card,Tablet,0
19,170173.88,773,56,68797.48,64.1,3,Month-to-Month,Credit Card,Mobile,0
41,31098.25,727,51,101546.51,43.1,3,Two-Year,Electronic Check,Mobile,0
61,43927.04,445,43,74586.13,95.9,4,Two-Year,Electronic Check,Mobile,0
47,95090.85,806,15,14098.64,53.7,2,One-Year,Credit Card,Mobile,0
55,169750.63,578,38,43608.35,38.9,2,Month-to-Month,Electronic Check,Desktop,1
19,74004.2,551,15,147559.78,87.1,1,Month-to-Month,Credit Card,Tablet,0
38,103621.4,561,5,144107.21,96.4,2,Two-Year,Credit Card,Desktop,0
50,31443.79,355,54,48073.03,95.2,4,One-Year,Electronic Check,Tablet,1
29,47993.2,461,51,149444.52,117.3,5,Month-to-Month,Electronic Check,Tablet,0
75,177927.67,725,10,126832.68,94.6,1,Month-to-Month,Credit Card,Mobile,0
39,174593.4,728,12,91643.92,92.6,3,Two-Year,Credit Card,Mobile,0
61,25765.7,796,4,6018.69,103.0,1,Two-Year,Credit Card,Desktop,0
42,172530.83,672,18,135217.02,1.0,2,One-Year,Electronic Check,Mobile,0
66,124063.59,455,36,83614.39,44.1,4,One-Year,Electronic Check,Desktop,1
44,159527.34,488,25,130271.42,88.8,2,Month-to-Month,Credit Card,Mobile,0
59,95484.68,648,36,125164.37,72.4,1,One-Year,Electronic Check,Desktop,0
45,104917.38,750,67,124950.93,22.1,3,One-Year,Credit Card,Desktop,0
33,100771.22,445,9,104726.08,37.1,3,Month-to-Month,Bank Transfer,Mobile,0
32,128363.96,737,61,43712.27,41.1,3,Two-Year,Credit Card,Desktop,0
64,46645.94,796,53,50424.04,68.6,5,Two-Year,Bank Transfer,Mobile,0
68,29645.91,801,18,46270.38,100.0,2,Month-to-Month,Credit Card,Mobile,0
61,72729.14,686,43,3006.9,112.0,2,Two-Year,Electronic Check,Desktop,0
72,134225.52,646,35,87385.34,90.3,1,One-Year,Credit Card,Mobile,0
69,56287.29,816,63,104825.05,101.3,1,One-Year,Credit Card,Tablet,0
74,129382.03,738,4,128079.9,56.9,1,Two-Year,Electronic Check,Mobile,0
20,175336.37,765,41,21024.82,47.4,1,Month-to-Month,Bank Transfer,Desktop,0
54,39554.61,563,45,81627.47,47.7,3,One-Year,Credit Card,Desktop,0
68,129253.33,803,50,1201.22,74.3,4,Month-to-Month,Bank Transfer,Mobile,1
24,93781.28,640,28,14264.05,15.8,2,One-Year,Electronic Check,Mobile,0
38,159562.05,371,42,8131.76,70.0,2,Month-to-Month,Bank Transfer,Desktop,0
26,52458.22,542,69,108821.71,80.2,4,Month-to-Month,Credit Card,Mobile,0
56,132357.02,817,1,12158.93,53.2,2,Month-to-Month,Credit Card,Mobile,0
35,154907.87,499,39,107467.95,114.4,4,Month-to-Month,Electronic Check,Desktop,1
21,171415.2,717,17,37443.71,73.4,1,Month-to-Month,Credit Card,Mobile,0
42,130903.44,596,35,131656.94,27.2,0,Month-to-Month,Bank Transfer,Desktop,0
31,102062.09,616,46,121972.5,58.0,7,One-Year,Bank Transfer,Desktop,0
67,120766.32,810,42,143674.53,81.4,3,Two-Year,Credit Card,Mobile,0
75,159680.27,600,39,132564.3,39.5,0,Two-Year,Credit Card,Mobile,0
26,113444.51,839,49,139999.41,10.5,0,Two-Year,Electronic Check,Mobile,0
43,29709.99,352,62,128811.36,70.4,2,Two-Year,Credit Card,Desktop,0
70,169297.05,742,38,104007.29,113.8,1,Month-to-Month,Electronic Check,Mobile,0
19,131876.65,665,23,25538.87,58.7,2,One-Year,Electronic Check,Mobile,0
37,129859.57,425,22,40756.13,108.8,1,One-Year,Credit Card,Mobile,0
45,58429.65,436,4,31909.04,100.4,3,Month-to-Month,Credit Card,Mobile,0
64,127127.25,619,49,90537.87,18.5,2,One-Year,Electronic Check,Desktop,0
24,86048.98,574,59,75542.99,85.3,0,Month-to-Month,Electronic Check,Mobile,0
61,125941.11,367,68,130062.0,52.8,2,Two-Year,Credit Card,Mobile,0
25,41521.92,462,71,142900.93,30.8,3,One-Year,Credit Card,Mobile,0
64,126966.02,600,2,60728.98,82.7,0,Two-Year,Bank Transfer,Mobile,0
52,179909.13,582,49,75952.58,89.4,0,Month-to-Month,Bank Transfer,Mobile,0
31,32472.87,678,31,145727.45,22.4,5,Month-to-Month,Bank Transfer,Mobile,1
34,176462.0,628,40,41435.84,109.8,3,Two-Year,Electronic Check,Mobile,0
53,88070.73,551,48,118858.62,90.4,2,Month-to-Month,Bank Transfer,Desktop,0
67,159966.78,432,51,33785.99,112.1,2,Month-to-Month,Electronic Check,Mobile,0
57,146269.75,474,43,102219.02,38.7,2,One-Year,Bank Transfer,Desktop,0
21,112887.52,524,55,38042.34,112.8,4,Two-Year,Credit Card,Mobile,0
19,139459.63,418,49,132560.01,44.9,2,Month-to-Month,Bank Transfer,Desktop,0
23,161169.91,396,57,84221.69,7.4,1,Month-to-Month,Bank Transfer,Mobile,0
71,87641.75,721,15,27890.05,91.8,2,Month-to-Month,Credit Card,Tablet,0
